,HDFCB IN Equity
,GHG_SCOPE_1
2014-03-31,6.746
2015-03-31,6.533
2016-03-31,6.83
2017-03-31,6.8
2018-03-31,7.998
2019-03-31,7.0
2020-03-31,7.6
2021-03-31,6.303
2022-03-31,21.074
