,TOP TB Equity
,GHG_SCOPE_1
2012-12-31,4880.0
2013-12-31,2550.0
2014-12-31,2470.0
2015-12-31,2440.0
2016-12-31,3650.0
2017-12-31,3400.0
2018-12-31,3490.0
2019-12-31,3310.0
2020-12-31,3020.0
2021-12-31,3150.0
