,IIB IN Equity
,GHG_SCOPE_1
2013-03-31,3.58
2014-03-31,3.594
2015-03-31,6.811
2016-03-31,5.984
2017-03-31,5.938
2018-03-31,5.777
2019-03-31,5.299
2020-03-31,8.832
2021-03-31,9.017
2022-03-31,9.017
