,HPCL IN Equity
,GHG_SCOPE_1
2011-03-31,2942.29
2012-03-31,3274.8
2013-03-31,3244.81
2014-03-31,2863.79
2015-03-31,3156.0
2016-03-31,3406.0
2017-03-31,3434.0
2018-03-31,3426.0
2019-03-31,3457.0
2020-03-31,3328.0
2021-03-31,3451.2
2022-03-31,3341.6
