,6967 JP Equity
,GHG_SCOPE_1
2013-03-31,31.252
2014-03-31,32.996
2015-03-31,34.835
2016-03-31,33.347
2017-03-31,33.531
2018-03-31,35.188
2019-03-31,37.035
2020-03-31,39.191
2021-03-31,44.783
2022-03-31,46.87
