,293 HK Equity
,GHG_SCOPE_1
2011-12-31,16286.7
2012-12-31,16013.7
2013-12-31,15913.5
2014-12-31,16654.801
2015-12-31,17368.301
2016-12-31,17200.0
2017-12-31,18000.0
2018-12-31,18400.0
2019-12-31,18429.6
2020-12-31,7534.91
2021-12-31,6020.69
