,257 HK Equity
,GHG_SCOPE_1
2012-12-31,1460.0
2013-12-31,1590.0
2014-12-31,1812.81
2015-12-31,3772.41
2016-12-31,4951.65
2017-12-31,10117.5
2018-12-31,22125.801
2019-12-31,22558.0
2020-12-31,10717.4
2021-12-31,15242.9
