,005930 KS Equity
,GHG_SCOPE_1
2011-12-31,4045.0
2012-12-31,2098.0
2013-12-31,2221.0
2014-12-31,2620.0
2015-12-31,2445.0
2016-12-31,2554.0
2017-12-31,3668.0
2018-12-31,4855.0
2019-12-31,5067.0
2020-12-31,5726.0
2021-12-31,7604.0
