,JUBLPHAR IN Equity
,GHG_SCOPE_1
2011-03-31,732.704
2012-03-31,780.432
2013-03-31,894.456
2014-03-31,917.0
2015-03-31,853.69
2016-03-31,774.7
2017-03-31,718.0
2018-03-31,827.7
2019-03-31,808.3
2020-03-31,888.03
2021-03-31,18.14
