,UEMS MK Equity
,GHG_SCOPE_1
2011-12-31,0.787
2012-12-31,0.507
2013-12-31,0.583
2015-12-31,1.367
2016-12-31,1.496
2017-12-31,1.317
2018-12-31,1.266
2019-12-31,1.077
2020-12-31,0.199
2021-12-31,0.146
