,SUN AU Equity
,GHG_SCOPE_1
2011-06-30,7.443
2012-06-30,6.832
2013-06-30,6.584
2014-06-30,6.311
2015-06-30,5.932
2016-06-30,5.228
2017-06-30,7.073
2018-06-30,8.646
2019-06-30,7.984
2020-06-30,4.464
2021-06-30,2.789
2022-06-30,1.499
