,3037 TT Equity
,GHG_SCOPE_1
2011-12-31,13.439
2012-12-31,14.112
2013-12-31,39.706
2014-12-31,39.873
2015-12-31,24.305
2016-12-31,29.506
2017-12-31,29.24
2018-12-31,27.177
2019-12-31,28.62
2020-12-31,29.947
2021-12-31,34.169
