,SUL AU Equity
,GHG_SCOPE_1
2013-06-29,0.767
2014-06-28,0.965
2015-06-27,0.894
2016-07-02,0.785
2017-07-01,0.657
2018-06-30,0.961
2019-06-30,0.932
2020-06-27,0.9
2021-06-26,0.945
2022-07-02,1.161
