,APA AU Equity
,GHG_SCOPE_1
2011-06-30,297.099
2012-06-30,327.239
2013-06-30,322.827
2014-06-30,311.421
2015-06-30,350.922
2016-06-30,1084.24
2017-06-30,1241.63
2018-06-30,1205.77
2019-06-30,1228.02
2020-06-30,1322.25
2021-06-30,1429.98
