,ALI PM Equity
,GHG_SCOPE_1
2013-12-31,16.196
2014-12-31,20.364
2015-12-31,33.574
2016-12-31,43.36
2017-12-31,16.796
2018-12-31,31.388
2019-12-31,66.603
2020-12-31,44.667
2021-12-31,61.236
