,CBA AU Equity
,GHG_SCOPE_1
2011-06-30,9.835
2012-06-30,8.941
2013-06-30,8.78
2014-06-30,7.936
2015-06-30,8.657
2016-06-30,8.118
2017-06-30,9.694
2018-06-30,8.74
2019-06-30,7.624
2020-06-30,10.84
2021-06-30,8.768
2022-06-30,6.667
