,WHS NZ Equity
,GHG_SCOPE_1
2011-07-31,1.046
2012-07-29,1.069
2013-07-28,1.05
2014-07-27,2.309
2015-08-02,2.426
2016-07-31,2.066
2017-07-30,2.271
2018-07-29,2.963
2019-07-28,2.932
2020-08-02,2.678
2021-08-01,3.016
