,AIA NZ Equity
,GHG_SCOPE_1
2011-06-30,2.17
2012-06-30,2.615
2013-06-30,2.404
2014-06-30,2.161
2015-06-30,2.408
2016-06-30,2.116
2018-06-30,2.661
2019-06-30,2.472
2020-06-30,2.397
2021-06-30,1.674
2022-06-30,2.004
