,IOCL IN Equity
,GHG_SCOPE_1
2011-03-31,13990.0
2012-03-31,14150.0
2013-03-31,14230.0
2014-03-31,16060.0
2015-03-31,15060.0
2016-03-31,15880.0
2017-03-31,18640.0
2018-03-31,18760.0
2019-03-31,18690.0
2020-03-31,18950.0
2021-03-31,20210.0
