,MGR AU Equity
,GHG_SCOPE_1
2011-06-30,13.635
2012-06-30,9.987
2013-06-30,7.066
2014-06-30,11.441
2015-06-30,9.867
2016-06-30,6.179
2017-06-30,4.64
2018-06-30,6.829
2019-06-30,6.623
2020-06-30,7.458
2021-06-30,6.342
2022-06-30,7.125
