,341 HK Equity
,GHG_SCOPE_1
2013-03-31,22.463
2014-03-31,21.985
2015-03-31,22.745
2016-03-31,25.677
2017-03-31,25.497
2018-03-31,24.883
2019-03-31,23.54
2020-03-31,21.972
2021-03-31,18.765
2022-03-31,18.79
