,1762 TT Equity
,GHG_SCOPE_1
2013-12-31,4.808
2014-12-31,4.816
2015-12-31,4.19
2016-12-31,4.207
2017-12-31,3.844
2018-12-31,3.363
2019-12-31,3.623
2020-12-31,2.847
2021-12-31,3.63
