,GPT AU Equity
,GHG_SCOPE_1
2011-12-31,8.533
2012-12-31,9.696
2013-12-31,10.076
2014-12-31,8.985
2015-12-31,13.313
2016-12-31,13.516
2017-12-31,9.044
2018-12-31,10.041
2019-12-31,9.732
2020-12-31,6.943
2021-12-31,7.799
