,UTCEM IN Equity
,GHG_SCOPE_1
2011-03-31,31433.199
2012-03-31,31930.199
2013-03-31,32254.5
2014-03-31,32207.199
2015-03-31,36440.898
2016-03-31,37863.602
2017-03-31,37139.102
2018-03-31,39298.898
2019-03-31,51270.699
2020-03-31,47954.398
2021-03-31,56588.301
2022-03-31,61454.0
