,981 HK Equity
,GHG_SCOPE_1
2012-12-31,269.329
2013-12-31,321.009
2014-12-31,328.066
2015-12-31,354.081
2016-12-31,419.424
2017-12-31,416.679
2018-12-31,425.706
2019-12-31,431.212
2020-12-31,550.105
2021-12-31,680.308
