,7735 JP Equity
,GHG_SCOPE_1
2011-03-31,11.124
2012-03-31,11.797
2013-03-31,13.702
2014-03-31,12.309
2015-03-31,11.835
2016-03-31,11.436
2017-03-31,12.263
2018-03-31,12.234
2019-03-31,11.617
2020-03-31,12.596
2021-03-31,10.614
2022-03-31,11.023
