,PGAS IJ Equity
,GHG_SCOPE_1
2013-12-31,40.707
2014-12-31,52.325
2015-12-31,52.561
2016-12-31,46.446
2017-12-31,77.515
2018-12-31,68.593
2019-12-31,62.766
2020-12-31,63.986
2021-12-31,44.582
