,TRUE TB Equity
,GHG_SCOPE_1
2013-12-31,15.234
2014-12-31,15.486
2015-12-31,18.235
2016-12-31,20.465
2017-12-31,19.044
2018-12-31,16.158
2019-12-31,17.04
2020-12-31,13.768
2021-12-31,10.566
