,QBE AU Equity
,GHG_SCOPE_1
2011-12-31,1.306
2012-12-31,1.16
2013-12-31,10.777
2014-12-31,11.144
2015-12-31,12.4
2016-12-31,8.686
2017-12-31,7.754
2018-12-31,8.25
2019-12-31,6.6
2020-12-31,5.548
2021-12-31,5.733
