,2103 TT Equity
,GHG_SCOPE_1
2012-12-31,119.496
2013-12-31,299.651
2014-12-31,284.506
2015-12-31,282.589
2016-12-31,323.813
2017-12-31,316.487
2018-12-31,285.162
2019-12-31,262.458
2020-12-31,229.101
2021-12-31,115.6
