,TAH AU Equity
,GHG_SCOPE_1
2012-06-30,1.611
2013-06-30,1.702
2014-06-30,1.811
2015-06-30,1.971
2016-06-30,1.97
2017-06-30,2.021
2018-06-30,3.087
2019-06-30,5.219
2020-06-30,4.523
2021-06-30,2.668
2022-06-30,3.265
