,303 HK Equity
,GHG_SCOPE_1
2014-03-31,4.75
2015-03-31,4.002
2016-03-31,3.851
2017-03-31,1.932
2018-03-31,2.514
2019-03-31,1.603
2020-03-31,1.212
2021-03-31,4.367
2022-03-31,4.728
