,SAN NZ Equity
,GHG_SCOPE_1
2013-09-30,82.569
2014-09-30,81.554
2015-09-30,65.927
2016-09-30,61.413
2017-09-30,66.125
2018-09-30,69.405
2019-09-30,61.414
2020-09-30,65.069
2021-09-30,62.13
