,6758 JP Equity
,GHG_SCOPE_1
2011-03-31,362.629
2012-03-31,353.459
2013-03-31,301.221
2014-03-31,304.244
2015-03-31,289.42
2016-03-31,324.13
2017-03-31,267.288
2018-03-31,234.291
2019-03-31,187.123
2020-03-31,187.829
2021-03-31,189.0
2022-03-31,211.0
