,009440 KS Equity
,GHG_SCOPE_1
2011-12-31,81.333
2012-12-31,72.41
2013-12-31,141.405
2014-12-31,177.934
2015-12-31,162.863
2016-12-31,209.978
2018-12-31,281.344
2019-12-31,307.524
2020-12-31,303.015
2021-12-31,260.803
