,MPACT SP Equity
,GHG_SCOPE_1
2016-03-31,0.0
2017-03-31,0.0
2018-03-31,0.0
2019-03-31,0.0
2020-03-31,0.0
2021-03-31,0.0
2022-03-31,0.039
