,032830 KS Equity
,GHG_SCOPE_1
2011-03-31,28.721
2012-03-31,28.805
2013-03-31,26.684
2014-12-31,42.827
2015-12-31,26.174
2016-12-31,40.484
2017-12-31,37.027
2018-12-31,38.56
2019-12-31,33.74
2020-12-31,31.312
2021-12-31,27.878
