,MSIL IN Equity
,GHG_SCOPE_1
2014-03-31,307.517
2015-03-31,351.377
2016-03-31,366.233
2017-03-31,394.052
2018-03-31,407.114
2019-03-31,419.855
2020-03-31,319.896
2021-03-31,197.134
2022-03-31,216.354
