,3706 TT Equity
,GHG_SCOPE_1
2011-12-31,2.464
2012-12-31,2.174
2013-12-31,1.815
2014-12-31,2.174
2015-12-31,1.42
2016-12-31,1.898
2017-12-31,1.72
2018-12-31,1.752
2019-12-31,1.515
2020-12-31,1.612
2021-12-31,1.698
