,BPT AU Equity
,GHG_SCOPE_1
2013-06-30,94.915
2014-06-30,62.696
2015-06-30,51.835
2016-06-30,41.195
2017-06-30,18.297
2018-06-30,495.74
2019-06-30,436.93
2020-06-30,469.666
2021-06-30,396.016
2022-06-30,459.253
