,MWC PM Equity
,GHG_SCOPE_1
2011-12-31,3.675
2012-12-31,2.287
2013-12-31,2.527
2014-12-31,3.966
2015-12-31,3.056
2016-12-31,3.759
2017-12-31,3.769
2018-12-31,3.632
2019-12-31,4.638
2020-12-31,4.198
2021-12-31,6.428
