,LT IN Equity
,GHG_SCOPE_1
2011-03-31,572.828
2012-03-31,424.351
2013-03-31,389.576
2014-03-31,528.823
2015-03-31,381.69
2016-03-31,368.66
2017-03-31,434.802
2018-03-31,435.092
2019-03-31,573.383
2020-03-31,529.093
2021-03-31,540.874
