,SPEN SL Equity
,GHG_SCOPE_1
2014-03-31,323.221
2015-03-31,279.18
2016-03-31,276.622
2017-03-31,375.351
2018-03-31,370.126
2019-03-31,279.588
2020-03-31,357.646
2021-03-31,328.331
2022-03-31,64.798
