,000660 KS Equity
,GHG_SCOPE_1
2011-12-31,1321.44
2012-12-31,1358.16
2013-12-31,1351.45
2014-12-31,1644.97
2015-12-31,1725.53
2016-12-31,1691.27
2017-12-31,1706.62
2018-12-31,1958.54
2019-12-31,2126.17
2020-12-31,2711.41
2021-12-31,2628.92
