,INFO IN Equity
,GHG_SCOPE_1
2011-03-31,18.985
2012-03-31,22.788
2013-03-31,33.623
2014-03-31,23.91
2015-03-31,22.126
2016-03-31,17.95
2017-03-31,16.165
2018-03-31,13.114
2019-03-31,12.532
2020-03-31,15.344
2021-03-31,8.678
2022-03-31,8.965
