,ORG AU Equity
,GHG_SCOPE_1
2011-06-30,2856.0
2012-06-30,12867.0
2013-06-30,13663.0
2014-06-30,14934.0
2015-06-30,16918.0
2016-06-30,16717.0
2017-06-30,17195.0
2018-06-30,17988.0
2019-06-30,18068.0
2020-06-30,16065.0
2021-06-30,14771.0
2022-06-30,12950.0
