,6244 TT Equity
,GHG_SCOPE_1
2012-12-31,0.595
2013-12-31,0.839
2014-12-31,0.868
2015-12-31,1.326
2016-12-31,1.225
2017-12-31,0.681
2018-12-31,0.105
2019-12-31,0.688
2021-12-31,2.093
