,ALD AU Equity
,GHG_SCOPE_1
2011-12-31,1869.0
2012-12-31,1849.61
2013-12-31,1849.61
2014-12-31,1704.47
2015-12-31,938.697
2016-12-31,733.537
2017-12-31,711.83
2018-12-31,739.832
2019-12-31,673.668
2020-12-31,576.611
2021-12-31,551.804
