,DIAL SL Equity
,GHG_SCOPE_1
2011-12-31,1.965
2012-12-31,3.809
2013-12-31,3.249
2014-12-31,3.0
2015-12-31,3.547
2016-12-31,4.151
2017-12-31,0.508
2018-12-31,8.738
2019-12-31,7.379
2020-12-31,5.074
2021-12-31,5.381
