,2891 TT Equity
,GHG_SCOPE_1
2011-12-31,0.41
2012-12-31,0.43
2013-12-31,0.52
2014-12-31,0.545
2015-12-31,1.387
2016-12-31,2.102
2017-12-31,3.377
2018-12-31,4.975
2019-12-31,5.963
2020-12-31,3.596
2021-12-31,3.377
