,SGM AU Equity
,GHG_SCOPE_1
2011-06-30,149.941
2012-06-30,117.886
2013-06-30,111.131
2014-06-30,106.935
2015-06-30,105.213
2016-06-30,82.241
2017-06-30,67.266
2018-06-30,80.2
2019-06-30,37.4
2020-06-30,64.9
2021-06-30,81.2
2022-06-30,68.8
