,TCS IN Equity
,GHG_SCOPE_1
2011-03-31,51.838
2012-03-31,54.874
2013-03-31,58.961
2014-03-31,44.375
2015-03-31,34.263
2016-03-31,31.924
2017-03-31,38.36
2018-03-31,29.701
2019-03-31,27.375
2020-03-31,26.714
2021-03-31,16.284
2022-03-31,16.684
