,KMD NZ Equity
,GHG_SCOPE_1
2012-07-31,0.0
2013-07-31,0.0
2014-07-31,0.0
2015-07-31,0.0
2016-07-31,0.0
2017-07-31,0.0
2021-07-31,0.003
