,MISC MK Equity
,GHG_SCOPE_1
2011-03-31,6209.0
2012-12-31,5448.0
2013-12-31,5312.0
2014-12-31,4541.0
2015-12-31,4403.0
2016-12-31,4513.77
2018-12-31,4132.21
2019-12-31,4202.58
2020-12-31,3986.59
2021-12-31,4148.62
