,KBANK TB Equity
,GHG_SCOPE_1
2012-12-31,4.58
2013-12-31,5.518
2014-12-31,7.323
2015-12-31,8.926
2016-12-31,18.023
2017-12-31,24.583
2018-12-31,21.161
2019-12-31,21.145
2020-12-31,18.727
2021-12-31,15.834
