,2308 TT Equity
,GHG_SCOPE_1
2011-12-31,15.372
2012-12-31,13.014
2013-12-31,22.881
2014-12-31,23.481
2015-12-31,22.509
2016-12-31,19.9
2017-12-31,25.308
2018-12-31,25.67
2019-12-31,18.598
2020-12-31,14.183
2021-12-31,17.808
