,SCI SP Equity
,GHG_SCOPE_1
2011-12-31,4880.58
2012-12-31,5291.83
2013-12-31,5800.0
2014-12-31,5700.0
2015-12-31,6900.0
2016-12-31,15400.0
2017-12-31,23000.0
2018-12-31,23600.0
2019-12-31,26000.0
2020-12-31,26303.5
2021-12-31,25936.301
