,HAYL SL Equity
,GHG_SCOPE_1
2012-03-31,30.517
2014-03-31,49.224
2015-03-31,48.61
2016-03-31,36.787
2017-03-31,46.765
2018-03-31,60.624
2019-03-31,51.845
2020-03-31,85.224
2021-03-31,91.187
2022-03-31,114.551
