,4062 JP Equity
,GHG_SCOPE_1
2011-03-31,283.0
2012-03-31,237.0
2013-03-31,182.0
2014-03-31,147.0
2015-03-31,124.0
2016-03-31,127.0
2017-03-31,134.0
2018-03-31,134.0
2019-03-31,144.0
2020-03-31,129.091
2021-03-31,155.0
