,2498 TT Equity
,GHG_SCOPE_1
2011-12-31,1.665
2012-12-31,1.783
2013-12-31,5.693
2014-12-31,5.164
2015-12-31,2.347
2016-12-31,2.14
2017-12-31,3.409
2018-12-31,2.712
2019-12-31,0.552
2020-12-31,0.372
2021-12-31,0.199
