,CSR AU Equity
,GHG_SCOPE_1
2011-03-31,394.398
2012-03-31,370.008
2013-03-31,367.113
2014-03-31,313.461
2015-03-31,351.912
2016-03-31,445.151
2017-03-31,453.531
2018-03-31,442.072
2019-03-31,306.981
2020-03-31,268.279
2021-03-31,266.098
