,1460 TT Equity
,GHG_SCOPE_1
2011-12-31,130.302
2012-12-31,129.811
2013-12-31,122.45
2014-12-31,131.935
2015-12-31,129.072
2016-12-31,133.841
2017-12-31,138.135
2018-12-31,144.446
2019-12-31,89.501
2020-12-31,82.288
2021-12-31,95.239
