,3264 TT Equity
,GHG_SCOPE_1
2012-12-31,0.298
2013-12-31,0.344
2014-12-31,0.298
2015-12-31,0.375
2016-12-31,0.42
2017-12-31,0.495
2018-12-31,0.605
2019-12-31,1.606
2020-12-31,1.917
2021-12-31,1.525
