,ITC IN Equity
,GHG_SCOPE_1
2012-03-31,1157.0
2013-03-31,1150.2
2014-03-31,1234.13
2015-03-31,1143.0
2016-03-31,1059.0
2017-03-31,1023.0
2018-03-31,1149.0
2019-03-31,1236.0
2020-03-31,1242.0
2021-03-31,1172.0
2022-03-31,1258.0
